,I_1,I_2,I_4,I_8,I_16,I_inf,W_100,W_1000,W_10000,W_100000,est_lb,est,est_ub
110,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.99931670909393,43.76828605402173,57.537255398949526
111,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.661393226915102,30.295184850468416,30.92897647402173
112,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,43.39485642357856,44.79604635498677,46.19723628639498
113,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.470857938549596,30.022719730655595,30.574581522761594
114,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.39021661946441,45.43135938145166,45.47250214343891
115,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,44.12446640339677,44.78095628458228,45.437446165767795
116,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,28.46640779300841,57.12706117962436,85.78771456624031
117,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,51.09248605772225,53.38078095902342,55.66907586032459
118,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,43.83832801302173,52.85313831985454,61.86794862668734
119,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.095750169913686,45.110750169913686,45.12575016991369
120,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,44.31100950107573,44.54602605986981,44.78104261866389
121,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,44.011787319237584,44.026787319237584,44.041787319237585
122,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.337488548057973,36.77180809889006,44.206127649722156
123,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,26.13236777934222,28.110238906205062,30.088110033067903
124,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.60053099898571,30.205360112411817,30.81018922583792
125,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.15335343023675,45.17052390659471,45.187694382952664
126,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.28169066913868,45.31729749328039,45.352904317422094
127,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,43.110925102491926,44.76496714357946,46.419009184667
128,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.04451923772125,45.059519237721254,45.074519237721255
129,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,46.63735748285665,54.95065039555779,63.263943308258916
130,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,28.41243878133879,29.687945932285523,30.963453083232256
131,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,44.19415093306838,44.78361025259703,45.37306957212569
132,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.50576018412349,30.07093801427834,30.636115844433192
133,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,51.83370141958388,58.54684788292465,65.25999434626542
134,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.583628569769996,30.506604752536475,31.42958093530295
135,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,49.5030589870151,51.31583156787921,53.128604148743314
136,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,44.692592860510324,44.89109909390088,45.08960532729143
137,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.48372593173423,30.041912893321445,30.600099854908663
138,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,50.140244525128644,52.09443465445547,54.04862478378229
139,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,44.810092830212206,44.825092830212206,44.84009283021221
140,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,44.91174631210747,44.932100678962925,44.952455045818375
