,I_1,I_2,I_4,I_8,I_16,I_inf,W_100,W_1000,W_10000,W_100000,est_lb,est,est_ub
107,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.94301963587205,39.77039995728306,45.59778027869407
108,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,32.425144452780515,32.440144452780515,32.455144452780516
109,1.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,35.360511514422676,35.44037814313535,35.52024477184802
110,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.52933713580033,33.563597149786645,33.59785716377296
111,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,35.26337775356748,42.50172628988174,49.74007482619599
112,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,34.67668266292726,34.73462540680583,34.792568150684396
113,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,27.850143979953618,34.02829363409464,40.20644328823566
114,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,26.69869986899647,36.12500302351425,45.55130617803203
115,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,34.83998218777174,34.866535684808824,34.893089181845916
116,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.57089745683792,33.58589745683792,33.60089745683792
117,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,35.76958139465621,35.78458139465621,35.79958139465621
118,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,34.42006843854083,34.46670647079267,34.51334450304451
119,3.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,34.33852180339672,34.398871591998,34.45922138059929
120,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,31.03067981025565,32.51891428064235,34.00714875102906
121,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,34.55796562810991,34.57296562810991,34.58796562810991
122,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,32.22654578967539,32.24154578967539,32.25654578967539
123,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,34.19610712597133,34.213286117897105,34.23046510982288
124,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.95683766613919,1545.956837666139,3045.956837666139
125,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,34.538638237488236,34.66477122590017,34.7909042143121
126,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,34.03318109643119,34.07453259519317,34.115884093955145
127,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,34.188987006688194,34.26092417974119,34.33286135279418
128,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.47208171724506,33.50699846247623,33.541915207707405
129,4.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,32.75321729362557,32.76821729362557,32.78321729362557
130,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.70748165328663,33.72248165328663,33.73748165328663
131,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,34.08969217199865,34.11336266751965,34.13703316304065
132,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.492695075494204,33.53119713235355,33.56969918921289
133,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,32.94420564874295,33.6901290800013,34.43605251125965
134,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,32.690698019117086,32.76748883615489,32.84427965319269
135,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.02936856993416,33.04436856993416,33.05936856993416
136,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,32.16002400303468,32.56092208162599,32.96182016021731
137,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,34.720304495964875,34.735304495964876,34.750304495964876
138,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,34.8763673530083,35.63979489201235,36.4032224310164
139,6.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,32.855758226260406,32.88307111921236,32.91038401216432
140,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,34.79421641774641,34.80921641774641,34.82421641774641
141,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.057475123908795,33.87050725239567,34.68353938088254
142,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.67986306155556,33.69495623713459,33.71004941271363
143,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.313093507953376,33.328093507953376,33.34309350795338
144,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.75459249277732,33.90849632276063,34.06240015274394
145,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,25.08290849971053,29.851972696298432,34.62103689288633
146,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,34.35730250096986,34.437060500290485,34.51681849961112
147,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,35.64250887172253,36.597436452558256,37.55236403339399
148,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,34.15761221270339,34.185480835481385,34.21334945825938
149,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.19225353973568,33.20916617391376,33.226078808091835
150,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,31.195424298758894,35.85219052577879,40.50895675279868
151,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.0522738112388,33.06733127557615,33.082388739913505
152,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.370272282016884,113.48806670105472,193.60586112009256
153,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,32.02175084707039,36.11045787374709,40.19916490042378
154,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,34.055512848995896,34.07454332444438,34.09357379989285
155,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,32.815657695478464,32.85657896689379,32.897500238309114
156,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.299759109831854,34.564132986450986,35.82850686307011
157,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.49222801060932,33.85108507846673,34.209942146324146
158,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,34.264155991880706,103.69201384275179,173.11987169362288
159,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,32.616647157850565,33.06982276215368,33.52299836645678
160,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.33689163411961,33.78316687281169,34.22944211150377
161,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,32.74329648403253,32.773382513486,32.80346854293948
162,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.66540573706482,33.85998895043208,34.05457216379935
163,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.17933859644565,33.20080672549307,33.22227485454048
164,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,28.855885337579082,36.46035064830242,44.06481595902577
165,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,31.84355906367403,33.23626643929386,34.62897381491368
166,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,32.91087935840054,32.94102226317161,32.97116516794268
167,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.64420790860676,33.93163925331934,34.21907059803192
168,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,35.48256971186496,1535.482569711865,3035.482569711865
169,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.7307701986457,33.7457701986457,33.7607701986457
170,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.62322859243892,33.63822859243892,33.65322859243892
171,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.790120577378026,34.211199612938344,34.63227864849866
172,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,32.091176541092516,34.41219405687171,36.7332115726509
173,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.571238906617914,34.428736703604464,35.286234500591014
174,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,35.5353889571273,36.294064075327086,37.05273919352686
175,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,35.67380198047628,36.66303736945116,37.652272758426044
176,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,32.73751861911954,32.76376266357502,32.79000670803051
177,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,34.560617309307,34.575617309307,34.590617309307
178,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,34.14908136503684,34.5580973325011,34.967113299965355
179,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,32.2110369509602,32.67361808434167,33.136199217723146
180,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,32.32159918400738,32.438157644967816,32.55471610592825
181,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,31.159285195440287,34.692769155835386,38.22625311623049
182,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,34.23546098423516,34.25046098423516,34.26546098423516
183,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,24.67337687284234,1524.6733768728423,3024.6733768728423
184,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,32.48862373442544,32.57887555544851,32.669127376471586
185,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,30.5639966103937,40.58360538850601,50.603214166618315
186,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,37.13537888386305,39.789337596916624,42.443296309970194
187,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,48.09598393295606,1548.0959839329562,3048.095983932956
188,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.56963874019068,33.584638740190684,33.599638740190684
189,14.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,34.2541064253882,34.2691064253882,34.2841064253882
190,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.40200734825515,33.417177584008726,33.4323478197623
191,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,37.31387754160366,54.06889461583877,70.82391169007388
192,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.654478659392886,33.681299906728896,33.70812115406491
193,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,35.017856780147156,35.24148414999835,35.46511151984954
194,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.34093624698951,33.35593624698951,33.37093624698951
195,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,34.457109391277804,34.472109391277804,34.487109391277805
196,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,28.88154098848473,1528.8815409884846,3028.8815409884846
197,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,32.53194006751712,33.41054559792436,34.2891511283316
198,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.95161880003095,34.37770695748107,34.80379511493119
199,16.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,33.35820501489952,33.37320501489952,33.38820501489952
200,3.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,30.10520139845738,34.233566809012416,38.36193221956746
201,3.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,34.12592900658319,34.14092900658319,34.15592900658319
202,3.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,32.622456046468514,32.95435069304942,33.286245339630334
203,3.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,37.46589913744855,39.114126087768646,40.76235303808874
204,3.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,34.790463898968724,34.805463898968725,34.820463898968725
205,3.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,29.719227491608464,34.14372546186108,38.56822343211369
206,3.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,33.225654065339945,33.43541168994534,33.64516931455074
207,3.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,32.960202486521474,32.98996998057197,33.01973747462246
208,3.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,35.645507783867046,35.66050778386705,35.67550778386705
209,3.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,29.44057008981267,37.07516763122141,44.709765172630156
